dealer_id,dealer_aadhar,farmer_id,relationship_date,claimed_fertiliser_qty_kg,relationship_status,max_allowed_txns_per_year
DEA0071,2305980797698,FAR002154,2023-01-08,22724,Active,48
DEA0491,2933799882407,FAR003359,2023-01-08,2559,Active,48
DEA0197,2723947149897,FAR006417,2023-01-08,400,Active,12
DEA0029,2844145481415,FAR002273,2023-01-08,7185,Active,24
DEA0226,2037786582576,FAR002005,2023-01-08,28587,Active,12
DEA0252,2413842326796,FAR009651,2023-01-08,3735,Active,12
DEA0092,2051503841119,FAR009923,2023-01-08,613,Active,12
DEA0277,2859672169852,FAR003420,2023-01-08,2696,Active,12
DEA0147,2188353498570,FAR002769,2023-01-08,1774,Active,24
DEA0332,2247200367115,FAR009573,2023-01-08,36760,Active,12
DEA0128,2670316220510,FAR002062,2023-01-08,12291,Active,48
DEA0043,2779763984118,FAR005584,2023-01-08,2289,Active,24
DEA0417,2079190017417,FAR003843,2023-01-08,877,Active,24
DEA0064,2099582324720,FAR001221,2023-01-08,54347,Active,36
DEA0279,2257822759857,FAR008031,2023-01-09,895,Active,24
DEA0485,2966451652637,FAR002551,2023-01-09,38672,Active,36
DEA0452,2557216632579,FAR002372,2023-01-09,1398,Active,48
DEA0479,2996759237639,FAR006775,2023-01-09,3157,Inactive,12
DEA0139,2387527051278,FAR007928,2023-01-09,52848,Active,24
DEA0436,2339692586886,FAR009644,2023-01-09,5418,Active,24
DEA0129,2491566680303,FAR002634,2023-01-09,319,Inactive,36
DEA0403,2367173489603,FAR007170,2023-01-09,14226,Active,36
DEA0148,2862322521408,FAR006654,2023-01-09,32287,Active,24
DEA0221,2138102248752,FAR000079,2023-01-09,3440,Inactive,12
DEA0396,2417353327403,FAR001156,2023-01-09,25766,Active,24
DEA0278,2039763768775,FAR005738,2023-01-09,29033,Active,12
DEA0033,2633629215658,FAR007564,2023-01-09,2526,Active,24
DEA0452,2557216632579,FAR008777,2023-01-09,5376,Active,12
DEA0011,2922718714259,FAR003204,2023-01-09,2519,Active,24
DEA0177,2890267252305,FAR002591,2023-01-09,2263,Active,36
DEA0379,2864515714792,FAR000312,2023-01-09,518,Active,12
DEA0123,2952132158235,FAR007623,2023-01-09,3915,Active,36
DEA0168,2067811274296,FAR008254,2023-01-09,222,Active,12
DEA0165,2454389296302,FAR007890,2023-01-09,6304,Active,24
DEA0448,2722698128819,FAR000102,2023-01-09,4188,Inactive,24
DEA0428,2351683423433,FAR009971,2023-01-10,9559,Active,12
DEA0002,2504198490555,FAR005854,2023-01-10,59242,Active,24
DEA0209,2254460711473,FAR003918,2023-01-10,31814,Active,24
DEA0469,2846456019389,FAR007524,2023-01-10,7037,Active,36
DEA0158,2045622254732,FAR003572,2023-01-10,2008,Active,12
DEA0275,2932521631464,FAR000268,2023-01-10,51146,Active,48
DEA0052,2855587333466,FAR006576,2023-01-10,1825,Active,12
DEA0138,2941712159224,FAR003374,2023-01-10,801,Active,12
DEA0023,2735949309195,FAR009625,2023-01-10,2231,Active,12
DEA0062,2139557291934,FAR004734,2023-01-10,1440,Active,12
DEA0261,2241832345621,FAR003403,2023-01-10,1362,Inactive,12
DEA0135,2800975790118,FAR001561,2023-01-10,272,Active,36
DEA0042,2616846320033,FAR007644,2023-01-10,4064,Active,24
DEA0371,2335643605235,FAR005316,2023-01-10,4226,Active,36
DEA0011,2922718714259,FAR009328,2023-01-10,41872,Active,12
DEA0430,2702922718196,FAR000922,2023-01-10,2887,Active,24
DEA0364,2136175081250,FAR004210,2023-01-10,2618,Active,36
DEA0261,2241832345621,FAR002612,2023-01-10,54461,Inactive,12
DEA0189,2844897362388,FAR009813,2023-01-10,377,Active,24
DEA0161,2880636685647,FAR006202,2023-01-10,19760,Active,24
DEA0279,2257822759857,FAR000441,2023-01-10,563,Active,24
DEA0184,2352843937784,FAR001227,2023-01-11,1597,Active,24
DEA0435,2405554692478,FAR001143,2023-01-11,20502,Inactive,48
DEA0174,2550866124392,FAR004855,2023-01-11,34084,Active,48
DEA0410,2746945916049,FAR004041,2023-01-11,1062,Inactive,24
DEA0312,2098496597399,FAR008944,2023-01-11,24341,Active,36
DEA0066,2490745034280,FAR004967,2023-01-11,3459,Active,12
DEA0198,2788985944514,FAR008814,2023-01-11,18516,Active,24
DEA0036,2741223885407,FAR001612,2023-01-11,2736,Active,24
DEA0045,2029220943701,FAR000268,2023-01-11,59521,Active,24
DEA0215,2749255313580,FAR002812,2023-01-11,22977,Active,48
DEA0403,2367173489603,FAR005113,2023-01-11,2203,Inactive,48
DEA0267,2430258091119,FAR001191,2023-01-11,1228,Active,24
DEA0042,2616846320033,FAR001312,2023-01-11,3332,Active,12
DEA0038,2513289909131,FAR001733,2023-01-11,997,Inactive,12
DEA0436,2339692586886,FAR000618,2023-01-11,1123,Active,24
DEA0214,2151266415665,FAR004000,2023-01-11,27560,Active,12
DEA0372,2738725588288,FAR002520,2023-01-11,3455,Active,48
DEA0385,2566300176134,FAR000179,2023-01-11,2472,Active,24
DEA0076,2807775092919,FAR004187,2023-01-11,802,Active,12
DEA0275,2932521631464,FAR003250,2023-01-11,11515,Active,36
DEA0006,2870570605618,FAR005549,2023-01-11,22349,Active,12
DEA0321,2531929098370,FAR001184,2023-01-12,1730,Active,24
DEA0104,2975604463798,FAR009334,2023-01-12,18595,Active,48
DEA0072,2509685471213,FAR008685,2023-01-12,1464,Active,12
DEA0436,2339692586886,FAR000100,2023-01-12,2472,Active,12
DEA0234,2483317959428,FAR006930,2023-01-12,2825,Inactive,36
DEA0119,2435462287917,FAR009108,2023-01-12,2256,Active,12
DEA0012,2389527958399,FAR005706,2023-01-12,3991,Active,36
DEA0108,2494831150146,FAR004540,2023-01-12,1557,Active,12
DEA0198,2788985944514,FAR004840,2023-01-12,20801,Active,24
DEA0209,2254460711473,FAR002850,2023-01-12,26799,Active,12
DEA0051,2961764090178,FAR002036,2023-01-12,49581,Active,24
DEA0261,2241832345621,FAR004774,2023-01-12,1033,Active,12
DEA0483,2987788948276,FAR003473,2023-01-12,1475,Active,48
DEA0198,2788985944514,FAR007217,2023-01-12,2871,Active,36
DEA0322,2127943651016,FAR001655,2023-01-12,174,Active,12
DEA0428,2351683423433,FAR007111,2023-01-12,43655,Active,12
DEA0416,2997892474396,FAR003187,2023-01-12,1561,Active,36
DEA0112,2768602022777,FAR003846,2023-01-12,331,Active,12
DEA0220,2033632741769,FAR000234,2023-01-12,495,Inactive,12
DEA0068,2789232649591,FAR008632,2023-01-12,22776,Active,24
DEA0006,2870570605618,FAR001864,2023-01-12,2210,Active,12
DEA0224,2667927527101,FAR001146,2023-01-13,1100,Active,24
DEA0150,2728424049360,FAR000503,2023-01-13,37713,Active,12
DEA0396,2417353327403,FAR007157,2023-01-13,237313,Inactive,12
DEA0135,2800975790118,FAR004726,2023-01-13,2069,Active,36
DEA0387,2641932262905,FAR005201,2023-01-13,29917,Active,48
DEA0047,2207189700074,FAR009666,2023-01-13,1477,Active,24
DEA0207,2435694754833,FAR002355,2023-01-13,1186,Active,36
DEA0299,2450198410311,FAR005988,2023-01-13,8344,Active,24
DEA0092,2051503841119,FAR008592,2023-01-13,24862,Active,24
DEA0403,2367173489603,FAR002929,2023-01-13,524,Active,36
DEA0178,2028777932287,FAR006440,2023-01-13,53256,Active,12
DEA0005,2935841521171,FAR009096,2023-01-13,976,Active,24
DEA0227,2128392923185,FAR002887,2023-01-13,28615,Active,24
DEA0093,2212343078301,FAR008089,2023-01-13,371,Active,24
DEA0319,2538411321869,FAR008251,2023-01-13,1039,Active,24
DEA0215,2749255313580,FAR004864,2023-01-13,35466,Active,24
DEA0187,2037930545250,FAR005970,2023-01-13,52309,Active,12
DEA0065,2524912570065,FAR001259,2023-01-13,1216,Inactive,24
DEA0500,2509235042216,FAR003413,2023-01-13,32394,Active,36
DEA0443,2889840039524,FAR001919,2023-01-13,9028,Inactive,24
DEA0210,2289297079093,FAR005687,2023-01-13,11670,Active,12
DEA0454,2508988318777,FAR004632,2023-01-14,1093,Active,24
DEA0215,2749255313580,FAR003710,2023-01-14,616,Active,24
DEA0178,2028777932287,FAR009031,2023-01-14,567,Active,12
DEA0442,2774884716355,FAR007850,2023-01-14,53976,Active,24
DEA0160,2603776241474,FAR009859,2023-01-14,142,Active,24
DEA0318,2026790623109,FAR008933,2023-01-14,64058,Active,12
DEA0238,2437847292840,FAR009001,2023-01-14,3692,Active,24
DEA0380,2647156822030,FAR005654,2023-01-14,538,Active,36
DEA0436,2339692586886,FAR001562,2023-01-14,2012,Active,48
DEA0474,2863610848939,FAR009724,2023-01-14,1022,Active,24
DEA0352,2098165607962,FAR000772,2023-01-14,12896,Active,12
DEA0308,2513887512281,FAR007030,2023-01-14,13748,Active,36
DEA0242,2544914498089,FAR003775,2023-01-14,2527,Inactive,12
DEA0207,2435694754833,FAR000763,2023-01-14,562,Active,24
DEA0322,2127943651016,FAR001425,2023-01-14,2509,Active,24
DEA0166,2262380298429,FAR002579,2023-01-14,4836,Active,12
DEA0137,2211513261436,FAR003828,2023-01-14,47140,Inactive,36
DEA0404,2419345273669,FAR006223,2023-01-14,272,Active,24
DEA0482,2541436021163,FAR003650,2023-01-14,1501,Active,24
DEA0064,2099582324720,FAR005431,2023-01-14,2531,Active,12
DEA0010,2341431277203,FAR003707,2023-01-15,14008,Active,36
DEA0400,2004555014869,FAR001278,2023-01-15,8306,Inactive,48
DEA0264,2942246449013,FAR006381,2023-01-15,49266,Active,24
DEA0468,2171211171215,FAR005624,2023-01-15,2231,Active,36
DEA0195,2314473811216,FAR000215,2023-01-15,17825,Active,24
DEA0099,2276146859451,FAR002936,2023-01-15,61183,Active,24
DEA0467,2699830405759,FAR008321,2023-01-15,1669,Active,24
DEA0438,2751413615495,FAR004113,2023-01-15,1304,Active,36
DEA0316,2793333269131,FAR005640,2023-01-15,2117,Active,24
DEA0431,2563361109695,FAR002105,2023-01-15,26837,Active,36
DEA0134,2399136675251,FAR001330,2023-01-15,1498,Active,24
DEA0250,2681289806872,FAR004074,2023-01-15,3338,Active,12
DEA0064,2099582324720,FAR005431,2023-01-15,2430,Active,24
DEA0435,2405554692478,FAR006682,2023-01-15,1645,Active,36
DEA0252,2413842326796,FAR009909,2023-01-15,1624,Active,12
DEA0371,2335643605235,FAR000801,2023-01-15,10603,Active,36
DEA0284,2602960924192,FAR009374,2023-01-15,2424,Inactive,36
DEA0252,2413842326796,FAR004702,2023-01-15,2158,Active,36
DEA0132,2685455492114,FAR009877,2023-01-15,668,Inactive,12
DEA0014,2632276921806,FAR003485,2023-01-15,12584,Active,24
DEA0396,2417353327403,FAR005799,2023-01-15,2955,Active,48
DEA0155,2497221736166,FAR008277,2023-01-16,26423,Active,12
DEA0327,2385925270805,FAR003750,2023-01-16,19292,Active,48
DEA0243,2342945498247,FAR007055,2023-01-16,2626,Active,24
DEA0066,2490745034280,FAR002375,2023-01-16,48096,Active,36
DEA0142,2298708440333,FAR008136,2023-01-16,1373,Active,12
DEA0394,2901486997207,FAR005033,2023-01-16,23814,Active,24
DEA0212,2754893120157,FAR003709,2023-01-16,569,Active,12
DEA0452,2557216632579,FAR000045,2023-01-16,410,Active,24
DEA0344,2465536962108,FAR009307,2023-01-16,8661,Inactive,12
DEA0487,2074557328378,FAR000641,2023-01-16,860,Active,24
DEA0392,2071379803159,FAR007073,2023-01-16,1051,Active,24
DEA0454,2508988318777,FAR009678,2023-01-16,468,Active,24
DEA0102,2139944702166,FAR003963,2023-01-16,52096,Active,12
DEA0289,2954247452807,FAR001214,2023-01-16,24396,Active,48
DEA0168,2067811274296,FAR002885,2023-01-16,3756,Active,24
DEA0246,2730707661556,FAR004210,2023-01-16,3033,Active,12
DEA0030,2939816091622,FAR009759,2023-01-16,762,Active,12
DEA0398,2361792646497,FAR003382,2023-01-16,1511,Active,24
DEA0330,2896391543989,FAR008108,2023-01-16,870,Active,36
DEA0176,2980946402057,FAR008527,2023-01-16,19117,Active,36
DEA0163,2415877787883,FAR008791,2023-01-16,609,Active,12
DEA0099,2276146859451,FAR006453,2023-01-17,1589,Inactive,24
DEA0368,2219692206741,FAR005521,2023-01-17,4098,Active,24
DEA0023,2735949309195,FAR006878,2023-01-17,54593,Active,24
DEA0144,2875357969453,FAR007972,2023-01-17,2682,Active,12
DEA0473,2636431178578,FAR002882,2023-01-17,509,Active,24
DEA0017,2731548918291,FAR002818,2023-01-17,752,Active,24
DEA0433,2945740755340,FAR000353,2023-01-17,40555,Active,24
DEA0042,2616846320033,FAR002165,2023-01-17,470,Active,12
DEA0370,2157262164254,FAR009492,2023-01-17,4131,Active,24
DEA0380,2647156822030,FAR009226,2023-01-17,823,Active,24
DEA0259,2297811238355,FAR005061,2023-01-17,534,Active,24
DEA0492,2514675426711,FAR000570,2023-01-17,1833,Active,24
DEA0367,2724126613176,FAR009519,2023-01-17,17955,Active,36
DEA0035,2096505381907,FAR001215,2023-01-17,574,Active,12
DEA0365,2776167166731,FAR001703,2023-01-17,985,Active,12
DEA0309,2933355179913,FAR007378,2023-01-17,799,Active,24
DEA0381,2060817395078,FAR003132,2023-01-17,1727,Active,48
DEA0316,2793333269131,FAR008181,2023-01-17,6914,Active,24
DEA0292,2721885793536,FAR008521,2023-01-17,4331,Active,24
DEA0383,2477978168940,FAR007754,2023-01-17,22985,Active,24
DEA0101,2175811950409,FAR001471,2023-01-17,529,Inactive,12
DEA0169,2344994770886,FAR008704,2023-01-18,4347,Active,24
DEA0125,2702906107025,FAR004647,2023-01-18,22490,Active,36
DEA0479,2996759237639,FAR007704,2023-01-18,424,Active,12
DEA0004,2187857161180,FAR005634,2023-01-18,691,Active,36
DEA0277,2859672169852,FAR001680,2023-01-18,786,Active,12
DEA0410,2746945916049,FAR003768,2023-01-18,2276,Active,36
DEA0365,2776167166731,FAR002920,2023-01-18,1663,Active,12
DEA0230,2021587826232,FAR005615,2023-01-18,1299,Active,24
DEA0309,2933355179913,FAR000327,2023-01-18,59315,Active,36
DEA0195,2314473811216,FAR005458,2023-01-18,25801,Active,24
DEA0139,2387527051278,FAR008892,2023-01-18,24251,Active,24
DEA0002,2504198490555,FAR006245,2023-01-18,49327,Active,24
DEA0083,2086315895113,FAR009592,2023-01-18,3630,Inactive,24
DEA0290,2134172510425,FAR008256,2023-01-18,9175,Active,12
DEA0029,2844145481415,FAR007295,2023-01-18,438,Active,12
DEA0460,2440440707508,FAR008290,2023-01-18,445,Active,24
DEA0195,2314473811216,FAR006468,2023-01-18,2253,Active,24
DEA0057,2477789998915,FAR008399,2023-01-18,336,Active,24
DEA0332,2247200367115,FAR004557,2023-01-18,1667,Active,24
DEA0432,2913866526306,FAR007766,2023-01-18,25123,Active,12
DEA0065,2524912570065,FAR004850,2023-01-18,16926,Inactive,12
DEA0198,2788985944514,FAR001460,2023-01-19,13631,Inactive,36
DEA0481,2944994969639,FAR001597,2023-01-19,61755,Active,24
DEA0451,2794825436783,FAR001284,2023-01-19,1546,Active,24
DEA0402,2215323873830,FAR005791,2023-01-19,1054,Active,12
DEA0039,2369561439398,FAR000782,2023-01-19,12704,Active,12
DEA0447,2465584193734,FAR007961,2023-01-19,1025,Active,12
DEA0154,2601506420683,FAR004721,2023-01-19,1453,Active,36
DEA0423,2632769783577,FAR001308,2023-01-19,27629,Active,48
DEA0453,2342316885292,FAR006543,2023-01-19,9395,Active,24
DEA0074,2606468538895,FAR002672,2023-01-19,25311,Active,24
DEA0481,2944994969639,FAR002499,2023-01-19,1511,Active,24
DEA0332,2247200367115,FAR003849,2023-01-19,2272,Active,12
DEA0225,2654814604031,FAR002626,2023-01-19,2319,Active,24
DEA0417,2079190017417,FAR005424,2023-01-19,28621,Inactive,48
DEA0215,2749255313580,FAR000161,2023-01-19,378,Active,24
DEA0072,2509685471213,FAR000412,2023-01-19,4520,Active,12
DEA0348,2493714451871,FAR009535,2023-01-19,2243,Active,12
DEA0460,2440440707508,FAR004488,2023-01-19,5533,Active,24
DEA0175,2938711421894,FAR008612,2023-01-19,2034,Active,36
DEA0242,2544914498089,FAR000386,2023-01-19,46571,Active,36
DEA0409,2086529407981,FAR005912,2023-01-19,2769,Inactive,12
DEA0443,2889840039524,FAR009622,2023-01-20,1898,Active,24
DEA0350,2811358662748,FAR007621,2023-01-20,289,Active,24
DEA0259,2297811238355,FAR005045,2023-01-20,3316,Active,12
DEA0039,2369561439398,FAR001109,2023-01-20,1191,Inactive,48
DEA0195,2314473811216,FAR002769,2023-01-20,2295,Active,24
DEA0468,2171211171215,FAR008378,2023-01-20,749,Active,24
DEA0282,2116532459741,FAR000035,2023-01-20,40415,Active,12
DEA0492,2514675426711,FAR000247,2023-01-20,3969,Active,48
DEA0161,2880636685647,FAR008090,2023-01-20,991,Active,12
DEA0178,2028777932287,FAR006446,2023-01-20,3476,Active,36
DEA0419,2951365321914,FAR008952,2023-01-20,28814,Active,48
DEA0376,2794796795246,FAR009624,2023-01-20,860,Active,12
DEA0046,2420233546838,FAR001922,2023-01-20,2074,Active,12
DEA0112,2768602022777,FAR004102,2023-01-20,11886,Active,36
DEA0188,2287782756813,FAR001817,2023-01-20,26862,Active,36
DEA0101,2175811950409,FAR001873,2023-01-20,1991,Active,24
DEA0200,2693174492132,FAR002563,2023-01-20,296083,Active,36
DEA0047,2207189700074,FAR008325,2023-01-20,1911,Active,24
DEA0298,2542564415400,FAR006560,2023-01-20,30882,Active,24
DEA0027,2666971464000,FAR005424,2023-01-20,26268,Active,24
DEA0244,2101755470162,FAR000733,2023-01-20,739,Active,24
DEA0368,2219692206741,FAR008612,2023-01-21,1915,Active,24
