farmer_id,aadhar_no,phone_no,village,land_size_acres,kharif_crop,rabi_crop,irrigation_type,soil_type,last_subsidy_date,farm_category
FAR000019,3475288123855,9699721878,Neelkamal,4.86,Paddy,Wheat,Borewell,Red,2024-01-02,Small (2.47-4.94 acres)
FAR000020,1242872707288,9944721822,Gokul Vihar,41.9,Jowar,Wheat,Rainfed,Clay,2024-01-02,SC/ST (Large (>12.35 acre
FAR000021,6464865886051,9204049397,Maruthi Extension,2.95,Paddy,Wheat,Sprinkler,Red,2024-01-02,Small (2.47-4.94 acres)
FAR000022,5722985419849,9921758731,Maruthi Extension,0.97,Paddy,Oats,Drip,Sandy Loam,2024-01-02,SC/ST (Marginal (<2.47 ac
FAR000023,9207861434627,9110919124,Maruthi Extension,0.85,Paddy,Wheat,Rainfed,Clay,2024-01-02,SC/ST (Marginal (<2.47 ac
FAR000024,7409679313586,9208061442,Uttara Phalguni,39.17,Paddy,Wheat,Rainfed,Alluvial,2024-01-02,SC/ST (Large (>12.35 acre
FAR000025,7703982133726,9302694722,Shivaji Colony,2.03,Paddy,Wheat,Rainfed,Loamy,2024-01-02,SC/ST (Marginal (<2.47 ac
FAR000026,7859420215059,9752207525,Devi Krupa,2.44,Jowar,Wheat,Borewell,Sandy Loam,2024-01-02,Marginal (<2.47 acres)
FAR000027,2823383579195,9242633330,RedSoil Hamlet,2.48,Jowar,Wheat,Rainfed,Loamy,2024-01-02,Small (2.47-4.94 acres)
FAR000028,9202246350358,9254734991,Lakshmi Puram,50.47,Jowar,Wheat,Rainfed,Clay,2024-01-02,Large (>12.35 acres)
FAR000029,6666605812368,9522267729,Pushpagiri,1.05,Jowar,Wheat,Borewell,Loamy,2024-01-02,Marginal (<2.47 acres)
FAR000030,7921480693223,9558195203,Nandi Hills,2.17,Jowar,Wheat,Rainfed,Alluvial,2024-01-02,SC/ST (Marginal (<2.47 ac
FAR000031,3085730772685,9411914259,Shivaji Colony,2.63,Paddy,Wheat,Borewell,Red,2024-01-03,SC/ST (Small (2.47-4.94 a
FAR000032,2106983367967,9242974713,Yelachaguppe,0.97,Paddy,Wheat,Rainfed,Red,2024-01-03,Marginal (<2.47 acres)
FAR000033,9928102554474,9878585132,Bhoga Nandeeshwara,35.69,Paddy,Wheat,Canal,Red,2024-01-03,Large (>12.35 acres)
FAR000034,4608875500685,9891934860,Subramanya Swamy,1.83,Paddy,Wheat,Borewell,Clay,2024-01-03,Marginal (<2.47 acres)
FAR000035,9107156134261,9644747358,Venkatesh Pura,36.75,Paddy,Wheat,Rainfed,Black (Regur),2024-01-03,SC/ST (Large (>12.35 acre
FAR000036,1293138390908,9268792961,Lakshmi Puram,5.74,Jowar,Wheat,Rainfed,Black (Regur),2024-01-03,Medium (4.94-12.35 acres)
FAR000037,2571264723031,9852369501,Ganesha Nagar,1.66,Paddy,Wheat,Borewell,Sandy Loam,2024-01-03,Marginal (<2.47 acres)
FAR000038,7566634786214,9674383390,Venkatesh Pura,1.38,Paddy,Oats,Sprinkler,Loamy,2024-01-03,Marginal (<2.47 acres)
FAR000039,1268370318785,9242318920,Keshavpur,3.48,Jowar,Wheat,Borewell,Clay,2024-01-03,SC/ST (Small (2.47-4.94 a
FAR000040,8073268584315,9485292602,Raja Rajeshwari,2.66,Paddy,Wheat,Rainfed,Clay,2024-01-03,Small (2.47-4.94 acres)
FAR000041,4342827487545,9879248944,Sundarapuram,0.61,Paddy,Wheat,Borewell,Loamy,2024-01-03,Marginal (<2.47 acres)
FAR000042,1879773628218,9210035172,Hanumantha Nagar,55.42,Paddy,Oats,Rainfed,Loamy,2024-01-03,Large (>12.35 acres)
FAR000043,4891462987736,9593130477,Raja Rajeshwari,4.67,Paddy,Wheat,Borewell,Red,2024-01-03,Small (2.47-4.94 acres)
FAR000044,6700139591393,9354665913,Skanda Giri,28.07,Paddy,Wheat,Rainfed,Alluvial,2024-01-03,Large (>12.35 acres)
FAR000045,7246218927876,9280815794,Raja Rajeshwari,0.76,Jowar,Wheat,Borewell,Loamy,2024-01-03,Marginal (<2.47 acres)
FAR000046,8978369723911,9915356021,Sundarapuram,2.07,Jowar,Wheat,Sprinkler,Clay,2024-01-04,Marginal (<2.47 acres)
FAR000047,7384479844429,9748917117,Rampur Village,3.73,Paddy,Wheat,Flood,Black (Regur),2024-01-04,Small (2.47-4.94 acres)
FAR000048,5956668509149,9348019929,Ganesha Nagar,0.74,Paddy,Wheat,Drip,Clay,2024-01-04,Marginal (<2.47 acres)
FAR000049,6950254506468,9593883523,Ganesha Nagar,1.0,Paddy,Wheat,Rainfed,Loamy,2024-01-04,Marginal (<2.47 acres)
FAR000050,6571403864738,9273894816,Ganesha Nagar,3.75,Jowar,Wheat,Borewell,Alluvial,2024-01-04,Small (2.47-4.94 acres)
FAR000051,3421127130903,9689579965,Lakshmi Puram,59.91,Paddy,Oats,Borewell,Clay,2024-01-04,Large (>12.35 acres)
FAR000052,4377101728885,9225314640,Lakshmi Puram,1.35,Paddy,Wheat,Rainfed,Loamy,2024-01-04,SC/ST (Marginal (<2.47 ac
FAR000053,8104749347183,9323684457,Raja Rajeshwari,0.88,Jowar,Wheat,Drip,Clay,2024-01-04,Marginal (<2.47 acres)
FAR000054,9485143354533,9718688857,Rampur Village,1.6,Jowar,Wheat,Borewell,Alluvial,2024-01-04,SC/ST (Marginal (<2.47 ac
FAR000055,3198755119533,9496093354,Keshavpur,3.16,Jowar,Wheat,Drip,Loamy,2024-01-04,Small (2.47-4.94 acres)
FAR000056,8581877707687,9368970067,Subramanya Swamy,2.83,Paddy,Oats,Rainfed,Alluvial,2024-01-04,SC/ST (Small (2.47-4.94 a
FAR000057,1069676338345,9417118505,Uttara Phalguni,2.44,Paddy,Oats,Borewell,Black (Regur),2024-01-04,SC/ST (Marginal (<2.47 ac
FAR000058,7074528836470,9760949426,GreenVillage,1.74,Paddy,Wheat,Rainfed,Sandy Loam,2024-01-04,SC/ST (Marginal (<2.47 ac
FAR000059,3259632922469,9631862693,RedSoil Hamlet,4.27,Paddy,Wheat,Rainfed,Alluvial,2024-01-04,Small (2.47-4.94 acres)
FAR000060,6908251135939,9407840426,Balaji Nagar,1.65,Paddy,Wheat,Drip,Alluvial,2024-01-04,Marginal (<2.47 acres)
FAR000061,6708303851089,9338393391,Uttara Phalguni,11.13,Jowar,Wheat,Rainfed,Sandy Loam,2024-01-05,SC/ST (Medium (4.94-12.35
FAR000062,9524917260748,9268120504,GreenVillage,0.66,Paddy,Oats,Borewell,Clay,2024-01-05,SC/ST (Marginal (<2.47 ac
FAR000063,4260368518498,9348799072,GreenVillage,1.56,Paddy,Wheat,Rainfed,Alluvial,2024-01-05,Marginal (<2.47 acres)
FAR000064,2957533039271,9138814951,RedSoil Hamlet,3.73,Jowar,Wheat,Rainfed,Sandy Loam,2024-01-05,Small (2.47-4.94 acres)
FAR000065,9651287851969,9512923570,Sundarapuram,1.68,Jowar,Wheat,Sprinkler,Black (Regur),2024-01-05,SC/ST (Marginal (<2.47 ac
FAR000066,7698992654457,9168482184,Neelkamal,1.78,Paddy,Wheat,Sprinkler,Alluvial,2024-01-05,SC/ST (Marginal (<2.47 ac
FAR000067,7779456463635,9961923027,RedSoil Hamlet,2.33,Paddy,Wheat,Sprinkler,Alluvial,2024-01-05,Marginal (<2.47 acres)
FAR000068,1930241998759,9146568967,Bhoga Nandeeshwara,1.01,Jowar,Wheat,Sprinkler,Black (Regur),2024-01-05,Marginal (<2.47 acres)
FAR000069,8139250734558,9179975656,Anjaneya Layout,2.3,Paddy,Wheat,Borewell,Clay,2024-01-05,Marginal (<2.47 acres)
FAR000070,9081320958965,9827889263,Sundarapuram,4.1,Paddy,Wheat,Sprinkler,Red,2024-01-05,Small (2.47-4.94 acres)
FAR000071,9146550821218,9350003053,Balaji Nagar,24.3,Jowar,Wheat,Rainfed,Alluvial,2024-01-05,Large (>12.35 acres)
FAR000072,5417865423756,9537036983,Gokul Vihar,2.24,Paddy,Wheat,Rainfed,Black (Regur),2024-01-05,Marginal (<2.47 acres)
FAR000073,4180629475896,9976719685,Sundarapuram,29.61,Jowar,Wheat,Drip,Clay,2024-01-05,Large (>12.35 acres)
FAR000074,8816118269304,9503198922,Ganesha Nagar,50.89,Paddy,Oats,Rainfed,Loamy,2024-01-05,SC/ST (Large (>12.35 acre
FAR000075,1098919580481,9603896565,Maruthi Extension,2.87,Paddy,Wheat,Borewell,Black (Regur),2024-01-05,SC/ST (Small (2.47-4.94 a
FAR000076,1493348476815,9921177454,Hanumantha Nagar,5.69,Paddy,Wheat,Rainfed,Loamy,2024-01-06,Medium (4.94-12.35 acres)
FAR000077,3157868840163,9687005511,Rampur Village,2.87,Paddy,Wheat,Rainfed,Alluvial,2024-01-06,Small (2.47-4.94 acres)
FAR000078,3177384796303,9832365887,Raja Rajeshwari,23.43,Paddy,Wheat,Flood,Loamy,2024-01-06,SC/ST (Large (>12.35 acre
FAR000079,9697348306432,9393796531,Devi Krupa,3.27,Paddy,Oats,Borewell,Loamy,2024-01-06,Small (2.47-4.94 acres)
FAR000080,9552718111129,9412479522,Lakshmi Puram,44.85,Paddy,Wheat,Rainfed,Loamy,2024-01-06,Large (>12.35 acres)
FAR000081,9107838934404,9233999091,Lakshmi Puram,3.38,Jowar,Wheat,Drip,Alluvial,2024-01-06,Small (2.47-4.94 acres)
FAR000082,1532364558114,9952720699,Nandi Hills,0.79,Paddy,Oats,Sprinkler,Alluvial,2024-01-06,Marginal (<2.47 acres)
FAR000083,3357410737369,9749940056,Gokul Vihar,43.54,Paddy,Oats,Rainfed,Red,2024-01-06,Large (>12.35 acres)
FAR000084,7779868259823,9338164323,Shivaji Colony,36.69,Paddy,Wheat,Drip,Loamy,2024-01-06,SC/ST (Large (>12.35 acre
FAR000085,2969112424043,9747112048,RedSoil Hamlet,1.85,Jowar,Wheat,Borewell,Alluvial,2024-01-06,Marginal (<2.47 acres)
FAR000086,8171669459322,9889489131,Hanumantha Nagar,0.3,Jowar,Wheat,Borewell,Black (Regur),2024-01-06,Marginal (<2.47 acres)
FAR000087,3601922985896,9245132165,Skanda Giri,4.79,Paddy,Oats,Flood,Alluvial,2024-01-06,Small (2.47-4.94 acres)
FAR000088,9928171100804,9486206551,Shivaji Colony,13.11,Jowar,Wheat,Rainfed,Red,2024-01-06,Large (>12.35 acres)
FAR000089,6804284648287,9787927700,Venkatesh Pura,59.97,Paddy,Wheat,Borewell,Alluvial,2024-01-06,Large (>12.35 acres)
FAR000090,7421209778058,9115013795,Devi Krupa,3.42,Paddy,Wheat,Rainfed,Sandy Loam,2024-01-06,Small (2.47-4.94 acres)
FAR000091,4065491978682,9183605521,Gokul Vihar,2.89,Paddy,Wheat,Sprinkler,Sandy Loam,2024-01-07,Small (2.47-4.94 acres)
FAR000092,8253237918339,9812159599,Devi Krupa,40.52,Jowar,Wheat,Flood,Alluvial,2024-01-07,Large (>12.35 acres)
FAR000093,5326761001666,9832353792,Bhoga Nandeeshwara,1.62,Paddy,Wheat,Rainfed,Alluvial,2024-01-07,Marginal (<2.47 acres)
FAR000094,3037966666633,9378495452,Rampur Village,3.75,Jowar,Wheat,Rainfed,Alluvial,2024-01-07,Small (2.47-4.94 acres)
FAR000095,8505543286683,9694221328,Nandi Hills,47.07,Jowar,Wheat,Canal,Black (Regur),2024-01-07,Large (>12.35 acres)
FAR000096,5702772365584,9326268406,Hanumantha Nagar,0.9,Paddy,Wheat,Flood,Alluvial,2024-01-07,Marginal (<2.47 acres)
FAR000097,7935778635392,9349323377,Yelachaguppe,57.48,Paddy,Wheat,Flood,Red,2024-01-07,SC/ST (Large (>12.35 acre
FAR000098,3744992733652,9453975685,Bhoga Nandeeshwara,44.47,Paddy,Wheat,Flood,Black (Regur),2024-01-07,Large (>12.35 acres)
FAR000099,7120546238122,9202192697,Keshavpur,29.05,Jowar,Wheat,Borewell,Clay,2024-01-07,Large (>12.35 acres)
FAR000100,4413516421222,9962053622,Balaji Nagar,0.46,Paddy,Oats,Canal,Red,2024-01-07,Marginal (<2.47 acres)
FAR000101,6798910885025,9690632263,Hanumantha Nagar,3.62,Paddy,Wheat,Flood,Black (Regur),2024-01-07,Small (2.47-4.94 acres)
FAR000102,1205193404495,9301052282,RedSoil Hamlet,3.93,Paddy,Wheat,Rainfed,Red,2024-01-07,Small (2.47-4.94 acres)
FAR000103,6380702621713,9544393176,Gokul Vihar,0.33,Paddy,Wheat,Sprinkler,Alluvial,2024-01-07,SC/ST (Marginal (<2.47 ac
FAR000104,9939885677554,9480906287,Yelachaguppe,38.16,Jowar,Wheat,Drip,Clay,2024-01-07,Large (>12.35 acres)
FAR000105,7942194807777,9651783089,Venkatesh Pura,4.01,Paddy,Wheat,Rainfed,Alluvial,2024-01-07,Small (2.47-4.94 acres)
FAR000106,3296977433664,9797488614,GreenVillage,0.36,Paddy,Wheat,Drip,Loamy,2024-01-08,Marginal (<2.47 acres)
FAR000107,6149420214830,9286004791,Yelachaguppe,48.23,Paddy,Wheat,Borewell,Clay,2024-01-08,Large (>12.35 acres)
FAR000108,1938585971074,9327084936,Ganesha Nagar,51.65,Paddy,Wheat,Sprinkler,Sandy Loam,2024-01-08,Large (>12.35 acres)
FAR000109,5555728416015,9179439323,Skanda Giri,1.22,Paddy,Wheat,Sprinkler,Alluvial,2024-01-08,Marginal (<2.47 acres)
FAR000110,7556870492532,9841420221,Gokul Vihar,0.31,Paddy,Wheat,Flood,Loamy,2024-01-08,Marginal (<2.47 acres)
FAR000111,6268859396587,9300827380,Sundarapuram,32.56,Paddy,Wheat,Rainfed,Red,2024-01-08,Large (>12.35 acres)
FAR000112,7121302427193,9772958072,RedSoil Hamlet,0.6,Paddy,Wheat,Drip,Loamy,2024-01-08,Marginal (<2.47 acres)
FAR000113,2450785970417,9996945438,RedSoil Hamlet,1.47,Paddy,Wheat,Rainfed,Alluvial,2024-01-08,Marginal (<2.47 acres)
FAR000114,6636924693131,9414443624,Neelkamal,59.54,Paddy,Wheat,Sprinkler,Loamy,2024-01-08,Large (>12.35 acres)
FAR000115,4024578697472,9961611145,Lakshmi Puram,33.09,Jowar,Wheat,Borewell,Sandy Loam,2024-01-08,Large (>12.35 acres)
FAR000116,3055914221455,9890560692,Sundarapuram,1.04,Paddy,Wheat,Borewell,Alluvial,2024-01-08,Marginal (<2.47 acres)
FAR000117,8832155554334,9505078141,RedSoil Hamlet,2.76,Paddy,Wheat,Rainfed,Alluvial,2024-01-08,Small (2.47-4.94 acres)
FAR000118,5728898594618,9778137535,Pushpagiri,0.34,Paddy,Oats,Borewell,Loamy,2024-01-08,SC/ST (Marginal (<2.47 ac
FAR000119,5824392745246,9407810495,Lakshmi Puram,17.18,Jowar,Wheat,Borewell,Loamy,2024-01-08,Large (>12.35 acres)
FAR000120,4011752451267,9665634993,Uttara Phalguni,1.3,Paddy,Wheat,Rainfed,Loamy,2024-01-08,SC/ST (Marginal (<2.47 ac
FAR000121,9435440822416,9440339925,Ganesha Nagar,1.21,Paddy,Wheat,Canal,Alluvial,2024-01-09,Marginal (<2.47 acres)
FAR000122,1724541804316,9824256960,Uttara Phalguni,1.62,Jowar,Wheat,Drip,Alluvial,2024-01-09,Marginal (<2.47 acres)
FAR000123,1103426668239,9324608844,Sundarapuram,3.4,Paddy,Wheat,Borewell,Sandy Loam,2024-01-09,SC/ST (Small (2.47-4.94 a
FAR000124,1062341076238,9515268493,Hanumantha Nagar,44.9,Jowar,Wheat,Sprinkler,Alluvial,2024-01-09,SC/ST (Large (>12.35 acre
FAR000125,4565753879474,9686402838,Subramanya Swamy,0.41,Paddy,Wheat,Rainfed,Clay,2024-01-09,Marginal (<2.47 acres)
FAR000126,7584432061196,9335496166,Skanda Giri,3.92,Jowar,Wheat,Borewell,Loamy,2024-01-09,Small (2.47-4.94 acres)
FAR000127,5822355016423,9826735230,Shivaji Colony,44.14,Paddy,Wheat,Sprinkler,Clay,2024-01-09,Large (>12.35 acres)
FAR000128,5833599666494,9391572891,Venkatesh Pura,1.46,Jowar,Wheat,Rainfed,Clay,2024-01-09,Marginal (<2.47 acres)
FAR000129,1129156593351,9720733532,Hanumantha Nagar,57.09,Jowar,Wheat,Rainfed,Clay,2024-01-09,SC/ST (Large (>12.35 acre
FAR000130,8669529651206,9248513593,Subramanya Swamy,0.4,Paddy,Wheat,Rainfed,Clay,2024-01-09,SC/ST (Marginal (<2.47 ac
FAR000131,6290468821150,9589408167,Skanda Giri,0.29,Jowar,Wheat,Canal,Clay,2024-01-09,Marginal (<2.47 acres)
FAR000132,2980399603349,9306822079,Keshavpur,1.77,Jowar,Wheat,Borewell,Alluvial,2024-01-09,SC/ST (Marginal (<2.47 ac
FAR000133,2819276389144,9357616480,Maruthi Extension,0.96,Paddy,Wheat,Borewell,Black (Regur),2024-01-09,Marginal (<2.47 acres)
FAR000134,6107440013504,9375211393,Shivaji Colony,4.48,Jowar,Wheat,Rainfed,Red,2024-01-09,Small (2.47-4.94 acres)
FAR000135,5783887236572,9531177130,Maruthi Extension,0.51,Paddy,Wheat,Borewell,Alluvial,2024-01-09,Marginal (<2.47 acres)
FAR000136,3327319785296,9476400096,Venkatesh Pura,48.68,Paddy,Wheat,Sprinkler,Red,2024-01-10,SC/ST (Large (>12.35 acre
FAR000137,4196534006185,9353687511,Ganesha Nagar,2.91,Paddy,Wheat,Flood,Black (Regur),2024-01-10,Small (2.47-4.94 acres)
FAR000138,4653479895373,9514494567,Devi Krupa,32.74,Jowar,Wheat,Rainfed,Sandy Loam,2024-01-10,Large (>12.35 acres)
FAR000139,7254313848227,9108415579,RedSoil Hamlet,1.97,Jowar,Wheat,Rainfed,Loamy,2024-01-10,Marginal (<2.47 acres)
FAR000140,1414421679358,9381017122,Devi Krupa,2.32,Jowar,Oats,Rainfed,Black (Regur),2024-01-10,Marginal (<2.47 acres)
FAR000141,7337566100178,9404470089,Venkatesh Pura,49.64,Paddy,Wheat,Borewell,Red,2024-01-10,Large (>12.35 acres)
FAR000142,3870792557932,9306398574,Keshavpur,2.25,Jowar,Oats,Borewell,Alluvial,2024-01-10,SC/ST (Marginal (<2.47 ac
FAR000143,1398564317287,9674480235,Ganesha Nagar,56.61,Paddy,Wheat,Drip,Black (Regur),2024-01-10,Large (>12.35 acres)
FAR000144,4970794657152,9142780129,Anjaneya Layout,0.27,Paddy,Oats,Flood,Loamy,2024-01-10,Marginal (<2.47 acres)
FAR000145,7570884057370,9767720568,Devi Krupa,3.26,Paddy,Wheat,Borewell,Red,2024-01-10,Small (2.47-4.94 acres)
FAR000146,3952252511888,9548342206,Keshavpur,43.58,Jowar,Wheat,Borewell,Black (Regur),2024-01-10,SC/ST (Large (>12.35 acre
FAR000147,1603162272806,9172932264,Sundarapuram,0.9,Paddy,Oats,Borewell,Alluvial,2024-01-10,SC/ST (Marginal (<2.47 ac
FAR000148,8036866481116,9376319295,Pushpagiri,1.74,Paddy,Oats,Flood,Alluvial,2024-01-10,Marginal (<2.47 acres)
FAR000149,6932607957403,9578541585,Venkatesh Pura,16.86,Paddy,Wheat,Borewell,Loamy,2024-01-10,SC/ST (Large (>12.35 acre
FAR000150,7583851765604,9964491461,Rampur Village,0.38,Paddy,Oats,Sprinkler,Clay,2024-01-10,Marginal (<2.47 acres)
FAR000151,7044533636075,9496975168,Anjaneya Layout,29.69,Paddy,Wheat,Drip,Clay,2024-01-11,Large (>12.35 acres)
FAR000152,9691492301852,9618430470,GreenVillage,0.57,Paddy,Wheat,Flood,Clay,2024-01-11,Marginal (<2.47 acres)
FAR000153,6188641393281,9352764328,Lakshmi Puram,16.51,Paddy,Wheat,Sprinkler,Black (Regur),2024-01-11,SC/ST (Large (>12.35 acre
FAR000154,5233159535607,9155034032,Sundarapuram,4.5,Paddy,Wheat,Rainfed,Alluvial,2024-01-11,Small (2.47-4.94 acres)
FAR000155,7246440915819,9464922000,Balaji Nagar,2.68,Jowar,Wheat,Sprinkler,Loamy,2024-01-11,Small (2.47-4.94 acres)
FAR000156,2735616180477,9718971722,Nandi Hills,52.52,Paddy,Wheat,Borewell,Loamy,2024-01-11,Large (>12.35 acres)
FAR000157,5822444733782,9406977401,Gokul Vihar,30.94,Paddy,Wheat,Sprinkler,Loamy,2024-01-11,Large (>12.35 acres)
FAR000158,1879740763361,9385833754,Sundarapuram,1.98,Jowar,Wheat,Flood,Alluvial,2024-01-11,Marginal (<2.47 acres)
FAR000159,6328793093358,9359555211,Hanumantha Nagar,17.85,Paddy,Oats,Drip,Red,2024-01-11,Large (>12.35 acres)
FAR000160,6297577040201,9947866542,Raja Rajeshwari,0.28,Paddy,Wheat,Drip,Alluvial,2024-01-11,SC/ST (Marginal (<2.47 ac
FAR000161,6109894372353,9682774433,Pushpagiri,0.37,Paddy,Wheat,Rainfed,Loamy,2024-01-11,Marginal (<2.47 acres)
FAR000162,1272894688350,9861012359,Uttara Phalguni,0.51,Paddy,Wheat,Rainfed,Clay,2024-01-11,Marginal (<2.47 acres)
FAR000163,3895265645335,9666189427,Balaji Nagar,59.9,Paddy,Wheat,Borewell,Clay,2024-01-11,SC/ST (Large (>12.35 acre
FAR000164,2606717149010,9421524758,Devi Krupa,0.88,Paddy,Wheat,Rainfed,Red,2024-01-11,Marginal (<2.47 acres)
FAR000165,3447641890912,9115475225,Shivaji Colony,4.85,Paddy,Oats,Sprinkler,Sandy Loam,2024-01-11,SC/ST (Small (2.47-4.94 a
FAR000166,2324426127422,9704612769,Lakshmi Puram,2.4,Paddy,Wheat,Rainfed,Loamy,2024-01-12,SC/ST (Marginal (<2.47 ac
FAR000167,8210898641202,9167313399,Hanumantha Nagar,2.23,Jowar,Oats,Drip,Red,2024-01-12,Marginal (<2.47 acres)
FAR000168,5866223684545,9887564703,Sundarapuram,9.04,Paddy,Wheat,Drip,Alluvial,2024-01-12,Medium (4.94-12.35 acres)
FAR000169,6354729338586,9588658296,Pushpagiri,46.73,Paddy,Wheat,Borewell,Loamy,2024-01-12,SC/ST (Large (>12.35 acre
FAR000170,5676992603214,9297816634,Bhoga Nandeeshwara,1.64,Jowar,Wheat,Sprinkler,Alluvial,2024-01-12,Marginal (<2.47 acres)
FAR000171,8648288006144,9331553713,Balaji Nagar,7.02,Paddy,Wheat,Drip,Black (Regur),2024-01-12,SC/ST (Medium (4.94-12.35
FAR000172,2961476297896,9111010755,Balaji Nagar,43.0,Paddy,Wheat,Rainfed,Loamy,2024-01-12,SC/ST (Large (>12.35 acre
FAR000173,5862299576179,9952182232,Maruthi Extension,0.67,Jowar,Wheat,Sprinkler,Clay,2024-01-12,SC/ST (Marginal (<2.47 ac
FAR000174,2939764367581,9667644423,Bhoga Nandeeshwara,1.03,Jowar,Wheat,Borewell,Loamy,2024-01-12,SC/ST (Marginal (<2.47 ac
FAR000175,1013583965817,9555493159,Yelachaguppe,4.88,Paddy,Wheat,Rainfed,Sandy Loam,2024-01-12,SC/ST (Small (2.47-4.94 a
FAR000176,1745365871330,9834579629,Gokul Vihar,27.65,Jowar,Wheat,Sprinkler,Red,2024-01-12,Large (>12.35 acres)
FAR000177,5570488734493,9927455827,Anjaneya Layout,57.37,Paddy,Wheat,Drip,Alluvial,2024-01-12,Large (>12.35 acres)
FAR000178,3946406295307,9872387277,Anjaneya Layout,42.66,Paddy,Wheat,Rainfed,Red,2024-01-12,Large (>12.35 acres)
FAR000179,4182220966558,9116488447,Shivaji Colony,2.32,Paddy,Wheat,Sprinkler,Clay,2024-01-12,Marginal (<2.47 acres)
FAR000180,7564992948890,9824886688,Anjaneya Layout,2.54,Jowar,Wheat,Rainfed,Clay,2024-01-12,Small (2.47-4.94 acres)
FAR000181,5078430073971,9574460473,Yelachaguppe,2.05,Paddy,Wheat,Borewell,Red,2024-01-13,SC/ST (Marginal (<2.47 ac
FAR000182,4991731490159,9832779379,Gokul Vihar,3.94,Paddy,Oats,Rainfed,Loamy,2024-01-13,Small (2.47-4.94 acres)
FAR000183,5776790784871,9939325774,Raja Rajeshwari,2.4,Paddy,Oats,Drip,Alluvial,2024-01-13,SC/ST (Marginal (<2.47 ac
FAR000184,9127940366602,9739627930,Neelkamal,32.85,Paddy,Wheat,Borewell,Alluvial,2024-01-13,Large (>12.35 acres)
FAR000185,2882106570312,9769767122,Skanda Giri,0.38,Paddy,Wheat,Borewell,Black (Regur),2024-01-13,Marginal (<2.47 acres)
FAR000186,5367726718733,9976872248,Venkatesh Pura,61.6,Jowar,Wheat,Rainfed,Loamy,2024-01-13,Large (>12.35 acres)
FAR000187,5717235653015,9874686114,Rampur Village,54.34,Paddy,Oats,Borewell,Black (Regur),2024-01-13,Large (>12.35 acres)
FAR000188,6600296266102,9367741152,Anjaneya Layout,1.25,Paddy,Wheat,Borewell,Clay,2024-01-13,Marginal (<2.47 acres)
FAR000189,1381937496328,9200336562,Neelkamal,2.37,Paddy,Wheat,Rainfed,Red,2024-01-13,Marginal (<2.47 acres)
FAR000190,5144378236969,9351015116,Anjaneya Layout,4.13,Paddy,Wheat,Rainfed,Red,2024-01-13,SC/ST (Small (2.47-4.94 a
