dealer_id,aadhar_no,dealer_name,village,license_active,license_expiry
DEA0111,2160217735027,Dealer_111_Agri,Venkatesh Pura,True,2026-03-16
DEA0112,2768602022777,Dealer_112_Agri,Sundarapuram,True,2026-03-19
DEA0113,2320769859180,Dealer_113_Agri,Ganesha Nagar,True,2026-03-21
DEA0114,2326934752420,Dealer_114_Agri,Ganesha Nagar,True,2026-03-24
DEA0115,2039319901246,Dealer_115_Agri,Maruthi Extension,True,2026-03-27
DEA0116,2563918990027,Dealer_116_Agri,Maruthi Extension,True,2026-03-29
DEA0117,2159322191514,Dealer_117_Agri,Skanda Giri,True,2026-04-01
DEA0118,2809480722925,Dealer_118_Agri,Skanda Giri,True,2026-04-03
DEA0119,2435462287917,Dealer_119_Agri,Gokul Vihar,True,2026-04-06
DEA0120,2065629553197,Dealer_120_Agri,Skanda Giri,True,2026-04-09
DEA0121,2466826458264,Dealer_121_Agri,Maruthi Extension,True,2026-04-11
DEA0122,2098924593344,Dealer_122_Agri,Pushpagiri,True,2026-04-14
DEA0123,2952132158235,Dealer_123_Agri,Skanda Giri,False,2026-04-17
DEA0124,2401931483117,Dealer_124_Agri,Subramanya Swamy,True,2026-04-19
DEA0125,2702906107025,Dealer_125_Agri,Skanda Giri,True,2026-04-22
DEA0126,2279978885810,Dealer_126_Agri,Nandi Hills,True,2026-04-24
DEA0127,2540846821394,Dealer_127_Agri,Bhoga Nandeeshwara,True,2026-04-27
DEA0128,2670316220510,Dealer_128_Agri,Devi Krupa,True,2026-04-30
DEA0129,2491566680303,Dealer_129_Agri,Neelkamal,True,2026-05-02
DEA0130,2085457153043,Dealer_130_Agri,Venkatesh Pura,True,2026-05-05
DEA0131,2449278739267,Dealer_131_Agri,Skanda Giri,True,2026-05-08
DEA0132,2685455492114,Dealer_132_Agri,Nandi Hills,True,2026-05-10
DEA0133,2646794544041,Dealer_133_Agri,Ganesha Nagar,True,2026-05-13
DEA0134,2399136675251,Dealer_134_Agri,Devi Krupa,True,2026-05-15
DEA0135,2800975790118,Dealer_135_Agri,Sundarapuram,True,2026-05-18
DEA0136,2298515060074,Dealer_136_Agri,Maruthi Extension,True,2026-05-21
DEA0137,2211513261436,Dealer_137_Agri,Raja Rajeshwari,True,2026-05-23
DEA0138,2941712159224,Dealer_138_Agri,Neelkamal,True,2026-05-26
DEA0139,2387527051278,Dealer_139_Agri,Subramanya Swamy,True,2026-05-29
DEA0140,2554454856221,Dealer_140_Agri,Dakshina Mukhi,True,2026-05-31
DEA0141,2806100729194,Dealer_141_Agri,Neelkamal,True,2026-06-03
DEA0142,2298708440333,Dealer_142_Agri,Neelkamal,True,2026-06-05
DEA0143,2709380013397,Dealer_143_Agri,Ganesha Nagar,True,2026-06-08
DEA0144,2875357969453,Dealer_144_Agri,Keshavpur,True,2026-06-11
DEA0145,2334607409428,Dealer_145_Agri,Raja Rajeshwari,True,2026-06-13
DEA0146,2739976321242,Dealer_146_Agri,Hanumantha Nagar,False,2026-06-16
DEA0147,2188353498570,Dealer_147_Agri,Shivaji Colony,True,2026-06-18
DEA0148,2862322521408,Dealer_148_Agri,Neelkamal,True,2026-06-21
DEA0149,2408888867570,Dealer_149_Agri,GreenVillage,True,2026-06-24
DEA0150,2728424049360,Dealer_150_Agri,Skanda Giri,True,2026-06-26
DEA0151,2582602343455,Dealer_151_Agri,Bhoga Nandeeshwara,True,2026-06-29
DEA0152,2431175503722,Dealer_152_Agri,Gokul Vihar,True,2026-07-02
DEA0153,2472948699426,Dealer_153_Agri,Subramanya Swamy,True,2026-07-04
DEA0154,2601506420683,Dealer_154_Agri,RedSoil Hamlet,True,2026-07-07
DEA0155,2497221736166,Dealer_155_Agri,Yelachaguppe,True,2026-07-09
DEA0156,2845311989767,Dealer_156_Agri,Devi Krupa,True,2026-07-12
DEA0157,2789803815071,Dealer_157_Agri,Maruthi Extension,True,2026-07-15
DEA0158,2045622254732,Dealer_158_Agri,Pushpagiri,True,2026-07-17
DEA0159,2288446868992,Dealer_159_Agri,Yelachaguppe,False,2026-07-20
DEA0160,2603776241474,Dealer_160_Agri,Balaji Nagar,True,2026-07-23
DEA0161,2880636685647,Dealer_161_Agri,Rampur Village,True,2026-07-25
DEA0162,2433664772989,Dealer_162_Agri,Raja Rajeshwari,True,2026-07-28
DEA0163,2415877787883,Dealer_163_Agri,Balaji Nagar,True,2026-07-30
DEA0164,2009102492800,Dealer_164_Agri,Raja Rajeshwari,True,2026-08-02
DEA0165,2454389296302,Dealer_165_Agri,Uttara Phalguni,True,2026-08-05
DEA0166,2262380298429,Dealer_166_Agri,Hanumantha Nagar,True,2026-08-07
DEA0167,2691172279665,Dealer_167_Agri,Rampur Village,True,2026-08-10
DEA0168,2067811274296,Dealer_168_Agri,RedSoil Hamlet,True,2026-08-13
DEA0169,2344994770886,Dealer_169_Agri,Dakshina Mukhi,False,2026-08-15
DEA0170,2310951443266,Dealer_170_Agri,Neelkamal,True,2026-08-18
DEA0171,2440676773102,Dealer_171_Agri,Venkatesh Pura,True,2026-08-20
DEA0172,2866164361546,Dealer_172_Agri,Devi Krupa,True,2026-08-23
DEA0173,2075486031862,Dealer_173_Agri,Yelachaguppe,True,2026-08-26
DEA0174,2550866124392,Dealer_174_Agri,Subramanya Swamy,True,2026-08-28
DEA0175,2938711421894,Dealer_175_Agri,RedSoil Hamlet,True,2026-08-31
DEA0176,2980946402057,Dealer_176_Agri,Lakshmi Puram,True,2026-09-03
DEA0177,2890267252305,Dealer_177_Agri,Bhoga Nandeeshwara,True,2026-09-05
DEA0178,2028777932287,Dealer_178_Agri,Shivaji Colony,True,2026-09-08
DEA0179,2766298629529,Dealer_179_Agri,Pushpagiri,True,2026-09-10
DEA0180,2541313533292,Dealer_180_Agri,Bhoga Nandeeshwara,True,2026-09-13
DEA0181,2576893367461,Dealer_181_Agri,Anjaneya Layout,True,2026-09-16
DEA0182,2494439422734,Dealer_182_Agri,Anjaneya Layout,True,2026-09-18
DEA0183,2856589740784,Dealer_183_Agri,Raja Rajeshwari,True,2026-09-21
DEA0184,2352843937784,Dealer_184_Agri,Devi Krupa,True,2026-09-24
DEA0185,2782579600248,Dealer_185_Agri,Nandi Hills,True,2026-09-26
DEA0186,2845209106236,Dealer_186_Agri,Keshavpur,True,2026-09-29
DEA0187,2037930545250,Dealer_187_Agri,Skanda Giri,True,2026-10-01
DEA0188,2287782756813,Dealer_188_Agri,Lakshmi Puram,True,2026-10-04
DEA0189,2844897362388,Dealer_189_Agri,Keshavpur,True,2026-10-07
DEA0190,2715102210190,Dealer_190_Agri,Lakshmi Puram,True,2026-10-09
DEA0191,2727333149246,Dealer_191_Agri,Neelkamal,True,2026-10-12
DEA0192,2000590025357,Dealer_192_Agri,Lakshmi Puram,True,2026-10-15
DEA0193,2129603823367,Dealer_193_Agri,Neelkamal,True,2026-10-17
DEA0194,2010322801451,Dealer_194_Agri,Rampur Village,True,2026-10-20
DEA0195,2314473811216,Dealer_195_Agri,Shivaji Colony,False,2026-10-22
DEA0196,2244685062283,Dealer_196_Agri,Lakshmi Puram,True,2026-10-25
DEA0197,2723947149897,Dealer_197_Agri,Anjaneya Layout,True,2026-10-28
DEA0198,2788985944514,Dealer_198_Agri,Devi Krupa,False,2026-10-30
DEA0199,2131875387351,Dealer_199_Agri,Yelachaguppe,True,2026-11-02
DEA0200,2693174492132,Dealer_200_Agri,Nandi Hills,True,2026-11-05
DEA0201,2666619653999,Dealer_201_Agri,Skanda Giri,True,2026-11-07
DEA0202,2734932569596,Dealer_202_Agri,GreenVillage,True,2026-11-10
DEA0203,2713879519299,Dealer_203_Agri,Raja Rajeshwari,False,2026-11-12
DEA0204,2971950409550,Dealer_204_Agri,Hanumantha Nagar,True,2026-11-15
DEA0205,2473761416609,Dealer_205_Agri,Bhoga Nandeeshwara,False,2026-11-18
DEA0206,2896896251194,Dealer_206_Agri,Dakshina Mukhi,True,2026-11-20
DEA0207,2435694754833,Dealer_207_Agri,Nandi Hills,True,2026-11-23
DEA0208,2840218312814,Dealer_208_Agri,Gokul Vihar,True,2026-11-26
DEA0209,2254460711473,Dealer_209_Agri,Raja Rajeshwari,True,2026-11-28
DEA0210,2289297079093,Dealer_210_Agri,Devi Krupa,True,2026-12-01
DEA0211,2181910768691,Dealer_211_Agri,Maruthi Extension,True,2026-12-03
DEA0212,2754893120157,Dealer_212_Agri,Keshavpur,True,2026-12-06
DEA0213,2899499017012,Dealer_213_Agri,Bhoga Nandeeshwara,True,2026-12-09
DEA0214,2151266415665,Dealer_214_Agri,Balaji Nagar,True,2026-12-11
DEA0215,2749255313580,Dealer_215_Agri,Pushpagiri,True,2026-12-14
DEA0216,2828733673817,Dealer_216_Agri,Gokul Vihar,True,2026-12-16
DEA0217,2390991684338,Dealer_217_Agri,Keshavpur,True,2026-12-19
DEA0218,2044661593940,Dealer_218_Agri,Hanumantha Nagar,True,2026-12-22
DEA0219,2748790146765,Dealer_219_Agri,Dakshina Mukhi,True,2026-12-24
DEA0220,2033632741769,Dealer_220_Agri,Shivaji Colony,True,2026-12-27
DEA0221,2138102248752,Dealer_221_Agri,Devi Krupa,True,2026-12-30
DEA0222,2423678849714,Dealer_222_Agri,Shivaji Colony,True,2027-01-01
DEA0223,2326492882407,Dealer_223_Agri,Shivaji Colony,True,2027-01-04
DEA0224,2667927527101,Dealer_224_Agri,Dakshina Mukhi,True,2027-01-06
DEA0225,2654814604031,Dealer_225_Agri,Ganesha Nagar,True,2027-01-09
DEA0226,2037786582576,Dealer_226_Agri,Maruthi Extension,True,2027-01-12
DEA0227,2128392923185,Dealer_227_Agri,Skanda Giri,True,2027-01-14
DEA0228,2653799802734,Dealer_228_Agri,Rampur Village,True,2027-01-17
DEA0229,2627920496268,Dealer_229_Agri,Lakshmi Puram,True,2027-01-20
DEA0230,2021587826232,Dealer_230_Agri,Sundarapuram,True,2027-01-22
DEA0231,2340935384145,Dealer_231_Agri,GreenVillage,True,2027-01-25
DEA0232,2872446132680,Dealer_232_Agri,Dakshina Mukhi,False,2027-01-27
DEA0233,2742872134878,Dealer_233_Agri,Anjaneya Layout,True,2027-01-30
DEA0234,2483317959428,Dealer_234_Agri,Skanda Giri,True,2027-02-02
DEA0235,2542903724352,Dealer_235_Agri,Ganesha Nagar,True,2027-02-04
DEA0236,2597823270542,Dealer_236_Agri,Gokul Vihar,True,2027-02-07
DEA0237,2089142827036,Dealer_237_Agri,Yelachaguppe,True,2027-02-10
DEA0238,2437847292840,Dealer_238_Agri,Nandi Hills,False,2027-02-12
DEA0239,2474905716692,Dealer_239_Agri,Bhoga Nandeeshwara,True,2027-02-15
DEA0240,2203140000546,Dealer_240_Agri,Sundarapuram,False,2027-02-17
DEA0241,2438536514017,Dealer_241_Agri,Uttara Phalguni,True,2027-02-20
DEA0242,2544914498089,Dealer_242_Agri,Venkatesh Pura,True,2027-02-23
DEA0243,2342945498247,Dealer_243_Agri,Rampur Village,True,2027-02-25
DEA0244,2101755470162,Dealer_244_Agri,RedSoil Hamlet,True,2027-02-28
DEA0245,2377576755938,Dealer_245_Agri,Neelkamal,True,2027-03-03
DEA0246,2730707661556,Dealer_246_Agri,Keshavpur,True,2027-03-05
DEA0247,2761204992925,Dealer_247_Agri,Bhoga Nandeeshwara,True,2027-03-08
DEA0248,2620163639379,Dealer_248_Agri,Hanumantha Nagar,True,2027-03-10
DEA0249,2347737480009,Dealer_249_Agri,Shivaji Colony,True,2027-03-13
DEA0250,2681289806872,Dealer_250_Agri,Rampur Village,True,2027-03-16
DEA0251,2269516712000,Dealer_251_Agri,Venkatesh Pura,False,2027-03-18
DEA0252,2413842326796,Dealer_252_Agri,Gokul Vihar,True,2027-03-21
DEA0253,2344643709707,Dealer_253_Agri,Devi Krupa,True,2027-03-24
DEA0254,2151185424453,Dealer_254_Agri,Dakshina Mukhi,True,2027-03-26
DEA0255,2584714464342,Dealer_255_Agri,Uttara Phalguni,True,2027-03-29
DEA0256,2819169823813,Dealer_256_Agri,Sundarapuram,True,2027-03-31
DEA0257,2108126608674,Dealer_257_Agri,Pushpagiri,True,2027-04-03
DEA0258,2027799668100,Dealer_258_Agri,RedSoil Hamlet,True,2027-04-06
DEA0259,2297811238355,Dealer_259_Agri,Nandi Hills,True,2027-04-08
DEA0260,2463181186579,Dealer_260_Agri,Skanda Giri,True,2027-04-11
DEA0261,2241832345621,Dealer_261_Agri,Yelachaguppe,True,2027-04-14
DEA0262,2178999685718,Dealer_262_Agri,Hanumantha Nagar,True,2027-04-16
DEA0263,2632113045963,Dealer_263_Agri,Venkatesh Pura,True,2027-04-19
DEA0264,2942246449013,Dealer_264_Agri,Shivaji Colony,True,2027-04-21
DEA0265,2422689586808,Dealer_265_Agri,Keshavpur,False,2027-04-24
DEA0266,2155652307139,Dealer_266_Agri,Yelachaguppe,True,2027-04-27
DEA0267,2430258091119,Dealer_267_Agri,Venkatesh Pura,True,2027-04-29
DEA0268,2230420650491,Dealer_268_Agri,Maruthi Extension,True,2027-05-02
DEA0269,2071436206069,Dealer_269_Agri,Maruthi Extension,True,2027-05-05
DEA0270,2532826114607,Dealer_270_Agri,RedSoil Hamlet,True,2027-05-07
DEA0271,2433510008368,Dealer_271_Agri,Subramanya Swamy,True,2027-05-10
DEA0272,2459446522813,Dealer_272_Agri,Gokul Vihar,True,2027-05-12
DEA0273,2290682017103,Dealer_273_Agri,RedSoil Hamlet,True,2027-05-15
DEA0274,2583684866009,Dealer_274_Agri,Devi Krupa,True,2027-05-18
DEA0275,2932521631464,Dealer_275_Agri,Subramanya Swamy,True,2027-05-20
DEA0276,2328398816680,Dealer_276_Agri,GreenVillage,True,2027-05-23
DEA0277,2859672169852,Dealer_277_Agri,Yelachaguppe,True,2027-05-26
DEA0278,2039763768775,Dealer_278_Agri,Sundarapuram,True,2027-05-28
DEA0279,2257822759857,Dealer_279_Agri,Lakshmi Puram,True,2027-05-31
DEA0280,2756272815445,Dealer_280_Agri,Balaji Nagar,True,2027-06-02
DEA0281,2894656933230,Dealer_281_Agri,Anjaneya Layout,True,2027-06-05
DEA0282,2116532459741,Dealer_282_Agri,Venkatesh Pura,True,2027-06-08
DEA0283,2719704460439,Dealer_283_Agri,Neelkamal,True,2027-06-10
DEA0284,2602960924192,Dealer_284_Agri,Maruthi Extension,False,2027-06-13
DEA0285,2965338892509,Dealer_285_Agri,Keshavpur,True,2027-06-16
DEA0286,2937976448205,Dealer_286_Agri,Hanumantha Nagar,True,2027-06-18
DEA0287,2222669094671,Dealer_287_Agri,Yelachaguppe,True,2027-06-21
DEA0288,2020620051073,Dealer_288_Agri,Lakshmi Puram,True,2027-06-23
DEA0289,2954247452807,Dealer_289_Agri,Anjaneya Layout,True,2027-06-26
DEA0290,2134172510425,Dealer_290_Agri,Yelachaguppe,True,2027-06-29
DEA0291,2404486856337,Dealer_291_Agri,Bhoga Nandeeshwara,True,2027-07-01
DEA0292,2721885793536,Dealer_292_Agri,Subramanya Swamy,True,2027-07-04
DEA0293,2218879063047,Dealer_293_Agri,Sundarapuram,True,2027-07-06
DEA0294,2859564423781,Dealer_294_Agri,Uttara Phalguni,True,2027-07-09
DEA0295,2897674285077,Dealer_295_Agri,Dakshina Mukhi,True,2027-07-12
DEA0296,2275918168525,Dealer_296_Agri,GreenVillage,True,2027-07-14
DEA0297,2930199590075,Dealer_297_Agri,Yelachaguppe,True,2027-07-17
DEA0298,2542564415400,Dealer_298_Agri,RedSoil Hamlet,True,2027-07-20
DEA0299,2450198410311,Dealer_299_Agri,Gokul Vihar,False,2027-07-22
DEA0300,2985453432855,Dealer_300_Agri,Rampur Village,True,2027-07-25
DEA0301,2014864952420,Dealer_301_Agri,Lakshmi Puram,True,2027-07-27
DEA0302,2165797052651,Dealer_302_Agri,Venkatesh Pura,True,2027-07-30
DEA0303,2371128546039,Dealer_303_Agri,Uttara Phalguni,True,2027-08-02
DEA0304,2549693846992,Dealer_304_Agri,Bhoga Nandeeshwara,True,2027-08-04
DEA0305,2887289214835,Dealer_305_Agri,Gokul Vihar,True,2027-08-07
DEA0306,2990147109825,Dealer_306_Agri,Maruthi Extension,True,2027-08-10
DEA0307,2004379524097,Dealer_307_Agri,Pushpagiri,True,2027-08-12
DEA0308,2513887512281,Dealer_308_Agri,Neelkamal,True,2027-08-15
DEA0309,2933355179913,Dealer_309_Agri,Yelachaguppe,True,2027-08-17
DEA0310,2730736122951,Dealer_310_Agri,Dakshina Mukhi,True,2027-08-20
DEA0311,2073121270010,Dealer_311_Agri,GreenVillage,True,2027-08-23
DEA0312,2098496597399,Dealer_312_Agri,Hanumantha Nagar,True,2027-08-25
DEA0313,2023491289182,Dealer_313_Agri,Gokul Vihar,True,2027-08-28
DEA0314,2259948799783,Dealer_314_Agri,Uttara Phalguni,True,2027-08-31
DEA0315,2397283371619,Dealer_315_Agri,GreenVillage,True,2027-09-02
DEA0316,2793333269131,Dealer_316_Agri,Hanumantha Nagar,True,2027-09-05
DEA0317,2115906752115,Dealer_317_Agri,Yelachaguppe,False,2027-09-07
DEA0318,2026790623109,Dealer_318_Agri,Venkatesh Pura,True,2027-09-10
DEA0319,2538411321869,Dealer_319_Agri,Lakshmi Puram,True,2027-09-13
DEA0320,2619959144624,Dealer_320_Agri,Lakshmi Puram,False,2027-09-15
DEA0321,2531929098370,Dealer_321_Agri,Raja Rajeshwari,True,2027-09-18
DEA0322,2127943651016,Dealer_322_Agri,Venkatesh Pura,True,2027-09-21
DEA0323,2335674144489,Dealer_323_Agri,Lakshmi Puram,True,2027-09-23
DEA0324,2968987153328,Dealer_324_Agri,Gokul Vihar,True,2027-09-26
DEA0325,2863505846808,Dealer_325_Agri,Devi Krupa,True,2027-09-28
DEA0326,2794508986330,Dealer_326_Agri,Nandi Hills,True,2027-10-01
DEA0327,2385925270805,Dealer_327_Agri,Uttara Phalguni,True,2027-10-04
DEA0328,2577865526319,Dealer_328_Agri,Anjaneya Layout,True,2027-10-06
DEA0329,2180452688246,Dealer_329_Agri,Ganesha Nagar,True,2027-10-09
DEA0330,2896391543989,Dealer_330_Agri,Raja Rajeshwari,True,2027-10-12
DEA0331,2550394212105,Dealer_331_Agri,Gokul Vihar,False,2027-10-14
DEA0332,2247200367115,Dealer_332_Agri,Uttara Phalguni,True,2027-10-17
DEA0333,2932237213229,Dealer_333_Agri,Keshavpur,True,2027-10-19
DEA0334,2784442544770,Dealer_334_Agri,Sundarapuram,True,2027-10-22
DEA0335,2340528724043,Dealer_335_Agri,Raja Rajeshwari,False,2027-10-25
DEA0336,2186479605743,Dealer_336_Agri,Rampur Village,True,2027-10-27
DEA0337,2666884342542,Dealer_337_Agri,Skanda Giri,False,2027-10-30
DEA0338,2740302162728,Dealer_338_Agri,Yelachaguppe,True,2027-11-02
